#Bucket,PerfectCC-
3.650000000000000000e+02,4.282400000000000000e+04
3.660000000000000000e+02,4.414900000000000000e+04
3.670000000000000000e+02,4.224100000000000000e+04
3.680000000000000000e+02,4.457300000000000000e+04
3.690000000000000000e+02,4.303600000000000000e+04
3.700000000000000000e+02,4.314200000000000000e+04
3.710000000000000000e+02,4.441400000000000000e+04
3.720000000000000000e+02,4.324800000000000000e+04
3.730000000000000000e+02,4.271800000000000000e+04
3.740000000000000000e+02,4.335400000000000000e+04
3.750000000000000000e+02,4.282400000000000000e+04
3.760000000000000000e+02,4.367200000000000000e+04
3.770000000000000000e+02,4.330100000000000000e+04
3.780000000000000000e+02,4.361900000000000000e+04
3.790000000000000000e+02,4.324800000000000000e+04
3.800000000000000000e+02,4.361900000000000000e+04
3.810000000000000000e+02,4.287700000000000000e+04
3.820000000000000000e+02,4.420200000000000000e+04
3.830000000000000000e+02,4.287700000000000000e+04
3.840000000000000000e+02,4.287700000000000000e+04
3.850000000000000000e+02,4.436100000000000000e+04
3.860000000000000000e+02,4.160500000000000000e+04
3.870000000000000000e+02,4.473200000000000000e+04
3.880000000000000000e+02,4.335400000000000000e+04
3.890000000000000000e+02,4.250600000000000000e+04
3.900000000000000000e+02,4.393700000000000000e+04
3.910000000000000000e+02,4.293000000000000000e+04
3.920000000000000000e+02,4.399000000000000000e+04
3.930000000000000000e+02,4.298300000000000000e+04
3.940000000000000000e+02,4.388400000000000000e+04
3.950000000000000000e+02,4.240000000000000000e+04
3.960000000000000000e+02,4.404300000000000000e+04
3.970000000000000000e+02,4.293000000000000000e+04
3.980000000000000000e+02,4.346000000000000000e+04
3.990000000000000000e+02,4.308900000000000000e+04
4.000000000000000000e+02,4.393700000000000000e+04
4.010000000000000000e+02,4.324800000000000000e+04
4.020000000000000000e+02,4.335400000000000000e+04
4.030000000000000000e+02,4.330100000000000000e+04
4.040000000000000000e+02,4.383100000000000000e+04
4.050000000000000000e+02,4.277100000000000000e+04
4.060000000000000000e+02,4.335400000000000000e+04
4.070000000000000000e+02,4.308900000000000000e+04
4.080000000000000000e+02,4.372500000000000000e+04
4.090000000000000000e+02,4.420200000000000000e+04
4.100000000000000000e+02,4.271800000000000000e+04
4.110000000000000000e+02,4.372500000000000000e+04
4.120000000000000000e+02,4.399000000000000000e+04
4.130000000000000000e+02,4.213500000000000000e+04
4.140000000000000000e+02,4.330100000000000000e+04
4.150000000000000000e+02,4.330100000000000000e+04
4.160000000000000000e+02,4.393700000000000000e+04
4.170000000000000000e+02,4.187000000000000000e+04
4.180000000000000000e+02,4.462600000000000000e+04
4.190000000000000000e+02,4.361900000000000000e+04
4.200000000000000000e+02,4.324800000000000000e+04
4.210000000000000000e+02,4.361900000000000000e+04
4.220000000000000000e+02,4.314200000000000000e+04
4.230000000000000000e+02,4.197600000000000000e+04
4.240000000000000000e+02,4.510300000000000000e+04
4.250000000000000000e+02,4.287700000000000000e+04
4.260000000000000000e+02,4.308900000000000000e+04
4.270000000000000000e+02,4.314200000000000000e+04
4.280000000000000000e+02,4.414900000000000000e+04
4.290000000000000000e+02,4.324800000000000000e+04
4.300000000000000000e+02,4.308900000000000000e+04
4.310000000000000000e+02,4.314200000000000000e+04
4.320000000000000000e+02,4.351300000000000000e+04
4.330000000000000000e+02,4.324800000000000000e+04
4.340000000000000000e+02,4.308900000000000000e+04
4.350000000000000000e+02,4.324800000000000000e+04
4.360000000000000000e+02,4.346000000000000000e+04
4.370000000000000000e+02,4.361900000000000000e+04
4.380000000000000000e+02,4.340700000000000000e+04
4.390000000000000000e+02,4.377800000000000000e+04
4.400000000000000000e+02,4.240000000000000000e+04
4.410000000000000000e+02,4.420200000000000000e+04
4.420000000000000000e+02,4.335400000000000000e+04
4.430000000000000000e+02,4.245300000000000000e+04
4.440000000000000000e+02,4.425500000000000000e+04
4.450000000000000000e+02,4.361900000000000000e+04
4.460000000000000000e+02,4.240000000000000000e+04
4.470000000000000000e+02,4.430800000000000000e+04
4.480000000000000000e+02,4.298300000000000000e+04
4.490000000000000000e+02,4.367200000000000000e+04
4.500000000000000000e+02,4.234700000000000000e+04
4.510000000000000000e+02,4.425500000000000000e+04
4.520000000000000000e+02,4.266500000000000000e+04
4.530000000000000000e+02,4.377800000000000000e+04
4.540000000000000000e+02,4.340700000000000000e+04
4.550000000000000000e+02,4.293000000000000000e+04
4.560000000000000000e+02,4.367200000000000000e+04
4.570000000000000000e+02,4.409600000000000000e+04
4.580000000000000000e+02,4.192300000000000000e+04
4.590000000000000000e+02,4.467900000000000000e+04
4.600000000000000000e+02,4.261200000000000000e+04
4.610000000000000000e+02,4.282400000000000000e+04
4.620000000000000000e+02,4.399000000000000000e+04
4.630000000000000000e+02,4.367200000000000000e+04
4.640000000000000000e+02,4.293000000000000000e+04
4.650000000000000000e+02,4.298300000000000000e+04
4.660000000000000000e+02,4.346000000000000000e+04
4.670000000000000000e+02,4.383100000000000000e+04
4.680000000000000000e+02,4.298300000000000000e+04
4.690000000000000000e+02,4.361900000000000000e+04
4.700000000000000000e+02,4.441400000000000000e+04
4.710000000000000000e+02,4.255900000000000000e+04
4.720000000000000000e+02,4.372500000000000000e+04
4.730000000000000000e+02,4.261200000000000000e+04
4.740000000000000000e+02,4.356600000000000000e+04
4.750000000000000000e+02,4.361900000000000000e+04
4.760000000000000000e+02,4.224100000000000000e+04
